Бренд,Модель,Тип,Пол,Размер,Цвет,Материал,Цена в долларах
Nike,Air Jordan 1,Basketball,Men,10,Red/Black,Leather,170
Adidas,Ultra Boost 21,Running,Men,"9,5",Black,Primeknit,180
Reebok,Classic Leather,Casual,Men,11,White,Leather,75
Converse,Chuck Taylor,Casual,Women,8,Navy,Canvas,55
Puma,Future Rider,Lifestyle,Women,"7,5",Pink,Mesh,80
Vans,Old Skool,Skate,Men,"8,5",Black/White,Suede/Canvas,65
New Balance,990v5,Running,Women,"6,5",Grey,Suede/Mesh,175
Asics,Gel-Kayano 28,Running,Men,"10,5",Blue,Mesh,160
Fila,Disruptor II,Fashion,Women,9,White,Leather/Synthetic,65
Skechers,Go Run Razor 3,Running,Men,9,Black,Mesh,110
Nike,Air Max 270,Running,Women,7,Pink,Mesh,150
Adidas,Stan Smith,Casual,Men,9,White/Green,Leather,80
Reebok,Club C 85,Casual,Women,"8,5",Pink,Leather,70
Converse,One Star,Skate,Men,10,Black,Suede,75
Puma,RS-Fast,Lifestyle,Men,"9,5",Yellow,Leather/Synthetic,110
Vans,Authentic,Skate,Women,6,White,Canvas,50
New Balance,Fresh Foam 1080v11,Running,Men,"11,5",Blue,Mesh,150
Asics,Gel-Nimbus 23,Running,Women,8,Purple,Mesh,150
Fila,Ray Tracer,Fashion,Men,10,Black,Synthetic,70
Skechers,Arch Fit,Walking,Women,"7,5",Grey,Mesh,70
Nike,Air Force 1,Casual,Men,10,White,Leather,90
Adidas,NMD_R1,Running,Women,"8,5",Black/Pink,Primeknit,140
Reebok,Zig Kinetica II,Running,Men,11,White,Mesh,120
Converse,Jack Purcell,Casual,Women,"7,5",Navy,Canvas,65
Puma,Calibrate Runner,Running,Men,"9,5",Black,Mesh,80
Vans,Sk8-Hi,Skate,Women,8,Black/White,Suede/Canvas,70
New Balance,327,Lifestyle,Men,10,Blue/Orange,Suede/Mesh,90
Asics,Gel-Quantum 180,Running,Women,9,Grey,Mesh/Synthetic,120
Fila,Mindblower,Fashion,Men,"8,5",White,Leather/Synthetic,75
Skechers,D'Lites,Walking,Women,7,Black,Synthetic,65
Nike,Air Max 2090,Running,Men,9,Grey,Mesh,150
Adidas,Adizero Adios 5,Running,Women,"7,5",Blue,Mesh,170
Reebok,Nano 9,Cross-training,Men,10,Black,Mesh/Synthetic,130
Converse,Chuck 70,Casual,Women,9,Pink,Canvas,85
Puma,Future Rider Play,Lifestyle,Men,9,Black/Red,Synthetic,90
Vans,Slip-On,Skate,Women,7,Checkered,Canvas,50
New Balance,574,Casual,Men,9,Black/Grey,Suede/Textile,80
Asics,Gel-Kayano 27,Running,Women,"8,5",Purple,Mesh/Synthetic,160
Fila,Venom,Fashion,Men,"9,5",White/Red,Leather/Synthetic,65
Skechers,Go Walk 5,Walking,Women,"7,5",Black,Mesh,60
Nike,Air Force 1,Casual,Men,11,White,Leather,90
Adidas,NMD_R1,Running,Women,9,Black,Knit,140
Reebok,Zig Kinetica II,Running,Men,"9,5",White,Mesh,120
Converse,Jack Purcell,Casual,Men,10,White,Canvas,65
Puma,Suede Classic,Casual,Women,"8,5",Beige,Suede,65
Vans,Sk8-Hi,Skate,Men,8,Black/White,Suede/Canvas,70
New Balance,327,Casual,Women,"7,5",Orange,Suede/Mesh,100
Asics,Gel-Kayano 28,Running,Women,7,White,Mesh,160
Fila,Original Fitness,Casual,Men,11,White/Navy,Leather,70
Skechers,Go Walk 5,Walking,Women,8,Black,Mesh,60
Nike,Free RN 5.0,Running,Men,10,Grey,Mesh,100
Adidas,Adilette Cloudfoam,Slides,Women,6,Black,Synthetic,35
Reebok,Nano 9,Crossfit,Men,"10,5",Black,Mesh,130
Converse,Chuck 70,Casual,Women,"7,5",Pink,Canvas,85
Puma,Clyde All Pro,Basketball,Men,"9,5",Black/Red,Leather,130
Vans,Era,Skate,Women,"6,5",White,Canvas,55
New Balance,Fresh Foam More v2,Running,Men,12,Black/Grey,Mesh,165
Asics,GT-2000 10,Running,Women,7,Blue,Mesh,120
Fila,Mindblower,Casual,Men,"9,5",White/Blue,Leather/Synthetic,75
Skechers,Dynamight 2.0,Training,Women,9,Black,Mesh,50
Nike,Air Force 1,Basketball,Men,11,White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,7,Pink,Primeknit,130
Reebok,Nano X1,Training,Men,9,Black,Knit,130
Converse,Chuck 70,Casual,Women,"8,5",Yellow,Canvas,85
Puma,Clyde All-Pro,Basketball,Men,10,Red,Leather,130
Vans,Sk8-Hi,Skate,Women,7,Black,Suede,70
New Balance,Fresh Foam 1080v11,Running,Women,8,Green,Mesh,150
Asics,Gel-Quantum 360,Running,Men,11,Blue,Mesh,170
Fila,D-Formation,Casual,Women,"8,5",White,Leather,65
Skechers,Max Cushioning,Running,Men,"8,5",Black,Mesh,90
Nike,Air Max 90,Lifestyle,Women,6,Grey,Leather,120
Adidas,Yeezy Boost 350,Lifestyle,Men,10,Black,Primeknit,220
Reebok,Classic Nylon,Casual,Women,"7,5",Pink,Nylon,65
Converse,Jack Purcell,Casual,Men,9,White,Canvas,65
Puma,Calibrate Runner,Running,Women,9,Grey,Mesh,120
Vans,Era,Skate,Men,"9,5",Red,Canvas,50
New Balance,FuelCell Echo,Running,Women,7,Pink,Mesh,100
Asics,GT-2000 9,Running,Men,"10,5",Black,Mesh,120
Fila,Original Fitness,Casual,Women,7,White,Leather,60
Skechers,Elite Flex,Walking,Men,10,Navy,Mesh,65
Nike,Blazer Low,Lifestyle,Women,"7,5",White,Leather,85
Nike,Air Force 1,Basketball,Men,10,White,Leather,90
Adidas,NMD_R1,Lifestyle,Men,"8,5",Black,Primeknit,140
Reebok,Nano X1,Training,Women,"7,5",Grey,Flexweave,130
Converse,Jack Purcell,Casual,Men,9,White,Canvas,65
Puma,Clyde All-Pro,Basketball,Men,11,Red/White,Leather,120
Vans,SK8-Hi,Skate,Women,6,Black,Suede/Canvas,70
New Balance,574,Casual,Men,10,Navy,Suede/Mesh,80
Asics,Gel-Lyte III NS,Casual,Women,8,Pink,Mesh,100
Fila,Mindblower,Fashion,Men,"9,5",White,Leather/Synthetic,75
Skechers,Max Cushioning,Running,Women,7,Black,Mesh,75
Nike,React Infinity Run Flyknit 2,Running,Men,"9,5",Blue,Flyknit,160
Adidas,Harden Stepback,Basketball,Men,12,Grey,Synthetic,80
Reebok,Classic Nylon,Casual,Women,"7,5",Black,Nylon,65
Converse,Chuck 70,Casual,Men,8,Yellow,Canvas,85
Puma,Calibrate Runner,Running,Men,"10,5",Black/Yellow,Mesh,80
Vans,Era,Skate,Women,7,Green,Canvas,55
New Balance,FuelCell Propel V3,Running,Women,"6,5",Purple,Mesh,100
Asics,Gel-Kayano 28 Lite-Show,Running,Men,11,Black,Mesh,170
